epoch,epoch_training_loss,epoch_validation_loss,validation_accuracy,validation_f1,model-activation-optimizer-lr-wd
58,0.5087,0.5172,0.7486207384354223,0.7437,SmallMLP-Tanh-SGD-0.1-0
59,0.5073,0.5169,0.7469231857405574,0.7465,SmallMLP-Tanh-SGD-0.1-0
60,0.5026,0.5179,0.7416890649313905,0.7349,SmallMLP-Tanh-SGD-0.1-0
61,0.5099,0.5127,0.7429622294525392,0.7425,SmallMLP-Tanh-SGD-0.1-0
62,0.5163,0.5293,0.7333427641816381,0.7325,SmallMLP-Tanh-SGD-0.1-0
63,0.5048,0.512,0.74437685669826,0.7434,SmallMLP-Tanh-SGD-0.1-0
64,0.5074,0.5152,0.7486207384354223,0.7471,SmallMLP-Tanh-SGD-0.1-0
65,0.5109,0.5088,0.7474890366388457,0.7467,SmallMLP-Tanh-SGD-0.1-0
66,0.5098,0.5306,0.7329183760079219,0.7222,SmallMLP-Tanh-SGD-0.1-0
67,0.5082,0.5115,0.7486207384354223,0.7472,SmallMLP-Tanh-SGD-0.1-0
68,0.5105,0.518,0.7394256613382374,0.7394,SmallMLP-Tanh-SGD-0.1-0
69,0.5053,0.5216,0.7418305276559627,0.7418,SmallMLP-Tanh-SGD-0.1-0
70,0.5081,0.5202,0.7394256613382374,0.7317,SmallMLP-Tanh-SGD-0.1-0
71,0.515,0.527,0.7228745225633045,0.7214,SmallMLP-Tanh-SGD-0.1-0
72,0.508,0.5097,0.7457914839439808,0.7454,SmallMLP-Tanh-SGD-0.1-0
73,0.5255,0.5236,0.7394256613382374,0.7309,SmallMLP-Tanh-SGD-0.1-0
74,0.5064,0.5127,0.7460744093931249,0.7459,SmallMLP-Tanh-SGD-0.1-0
75,0.514,0.5128,0.7472061111897015,0.7438,SmallMLP-Tanh-SGD-0.1-0
76,0.5071,0.5212,0.749893902956571,0.7464,SmallMLP-Tanh-SGD-0.1-0
77,0.5046,0.5157,0.7404159004102419,0.7404,SmallMLP-Tanh-SGD-0.1-0
78,0.5051,0.5196,0.7457914839439808,0.7441,SmallMLP-Tanh-SGD-0.1-0
79,0.5093,0.5162,0.746215872117697,0.7459,SmallMLP-Tanh-SGD-0.1-0
80,0.5051,0.5105,0.7466402602914132,0.7453,SmallMLP-Tanh-SGD-0.1-0
81,0.5078,0.5132,0.7435280803508275,0.7435,SmallMLP-Tanh-SGD-0.1-0
82,0.5085,0.5171,0.7431036921771114,0.7431,SmallMLP-Tanh-SGD-0.1-0
83,0.5089,0.5122,0.7493280520582827,0.7477,SmallMLP-Tanh-SGD-0.1-0
84,0.5143,0.5221,0.7380110340925167,0.738,SmallMLP-Tanh-SGD-0.1-0
85,0.5078,0.513,0.7477719620879898,0.745,SmallMLP-Tanh-SGD-0.1-0
86,0.5083,0.5132,0.750035365681143,0.7476,SmallMLP-Tanh-SGD-0.1-0
87,0.5063,0.5125,0.7446597821474041,0.7445,SmallMLP-Tanh-SGD-0.1-0
88,0.5076,0.5209,0.7487622011599944,0.747,SmallMLP-Tanh-SGD-0.1-0
89,0.5053,0.519,0.7450841703211204,0.7388,SmallMLP-Tanh-SGD-0.1-0
90,0.5124,0.5157,0.749893902956571,0.7487,SmallMLP-Tanh-SGD-0.1-0
91,0.5094,0.5264,0.7262696279530344,0.7132,SmallMLP-Tanh-SGD-0.1-0
92,0.5078,0.5368,0.7194794171735748,0.7041,SmallMLP-Tanh-SGD-0.1-0
93,0.5108,0.5147,0.744235393973688,0.744,SmallMLP-Tanh-SGD-0.1-0
94,0.5064,0.532,0.7481963502617061,0.7471,SmallMLP-Tanh-SGD-0.1-0
95,0.5068,0.5285,0.7406988258593861,0.7407,SmallMLP-Tanh-SGD-0.1-0
96,0.5104,0.5159,0.7421134531051068,0.742,SmallMLP-Tanh-SGD-0.1-0
97,0.5069,0.5167,0.7466402602914132,0.7421,SmallMLP-Tanh-SGD-0.1-0
98,0.5084,0.5124,0.7415476022068185,0.7414,SmallMLP-Tanh-SGD-0.1-0
99,0.5059,0.512,0.7511670674777197,0.7494,SmallMLP-Tanh-SGD-0.1-0
100,0.5068,0.5285,0.7183477153769982,0.7155,SmallMLP-Tanh-SGD-0.1-0
1,0.5894,0.545,0.7316452114867732,0.7307,SmallMLP-Tanh-Adagrad-0.1-0
2,0.5419,0.534,0.738718347715377,0.7336,SmallMLP-Tanh-Adagrad-0.1-0
3,0.5299,0.5263,0.7412646767576744,0.7407,SmallMLP-Tanh-Adagrad-0.1-0
4,0.5268,0.5219,0.7449427075965483,0.7423,SmallMLP-Tanh-Adagrad-0.1-0
5,0.5226,0.52,0.7431036921771114,0.7422,SmallMLP-Tanh-Adagrad-0.1-0
