epoch,epoch_training_loss,epoch_validation_loss,epoch_testing_loss,training_accuracy,training_f1,validation_accuracy,validation_f1,testing_accuracy,testing_f1,model-activation-optimizer-lr-wd
38,0.5346,0.5243,0.5309,0.7335219236209335,0.7324,0.7404159004102419,0.7396,0.7387052853075876,0.7376,SmallMLP-Tanh-Adagrad-0.01-0
39,0.537,0.5243,0.5308,0.7325318246110325,0.7317,0.7406988258593861,0.7401,0.7389174756423178,0.7381,SmallMLP-Tanh-Adagrad-0.01-0
40,0.5358,0.5234,0.5301,0.734936350777935,0.7337,0.7412646767576744,0.7403,0.7387936979470585,0.7376,SmallMLP-Tanh-Adagrad-0.01-0
41,0.5362,0.5235,0.5301,0.7332390381895333,0.7325,0.7414061394822464,0.7408,0.7395009990628261,0.7387,SmallMLP-Tanh-Adagrad-0.01-0
42,0.5377,0.5235,0.5301,0.7332390381895333,0.7326,0.7426793040033951,0.7422,0.7389705232260004,0.7383,SmallMLP-Tanh-Adagrad-0.01-0
43,0.5377,0.5226,0.5293,0.7353606789250353,0.7342,0.7421134531051068,0.7412,0.7389882057538946,0.7379,SmallMLP-Tanh-Adagrad-0.01-0
44,0.5366,0.5225,0.5292,0.7342291371994343,0.7334,0.7419719903805347,0.7413,0.7395009990628261,0.7386,SmallMLP-Tanh-Adagrad-0.01-0
45,0.5332,0.522,0.5287,0.7355021216407355,0.7344,0.7422549158296788,0.7414,0.7395009990628261,0.7384,SmallMLP-Tanh-Adagrad-0.01-0
46,0.5346,0.5215,0.5283,0.7347949080622348,0.7334,0.7436695430753997,0.7426,0.7390766183933655,0.7377,SmallMLP-Tanh-Adagrad-0.01-0
47,0.5347,0.5231,0.5297,0.7335219236209335,0.7332,0.7422549158296788,0.7421,0.7387760154191644,0.7384,SmallMLP-Tanh-Adagrad-0.01-0
48,0.5353,0.521,0.5278,0.7347949080622348,0.7334,0.7439524685245438,0.7428,0.7395363641186143,0.7382,SmallMLP-Tanh-Adagrad-0.01-0
49,0.5358,0.5208,0.5276,0.7362093352192363,0.7352,0.7428207667279672,0.742,0.7397662369812389,0.7387,SmallMLP-Tanh-Adagrad-0.01-0
50,0.5355,0.5206,0.5275,0.733946251768034,0.7321,0.7432451549016834,0.7418,0.7398723321486039,0.7382,SmallMLP-Tanh-Adagrad-0.01-0
51,0.5348,0.5202,0.527,0.7360678925035361,0.7348,0.7440939312491158,0.743,0.7402436652343819,0.739,SmallMLP-Tanh-Adagrad-0.01-0
52,0.5347,0.52,0.5269,0.7343705799151343,0.7327,0.7433866176262555,0.742,0.7402613477622761,0.7387,SmallMLP-Tanh-Adagrad-0.01-0
53,0.534,0.5197,0.5265,0.7355021216407355,0.734,0.7449427075965483,0.7438,0.7405089031527947,0.7391,SmallMLP-Tanh-Adagrad-0.01-0
54,0.5337,0.5195,0.5263,0.7367751060820368,0.7357,0.7438110057999717,0.743,0.7402613477622761,0.7392,SmallMLP-Tanh-Adagrad-0.01-0
55,0.5355,0.5193,0.5261,0.7367751060820368,0.7357,0.7439524685245438,0.7431,0.7406857284317366,0.7396,SmallMLP-Tanh-Adagrad-0.01-0
56,0.5339,0.5191,0.5259,0.7364922206506365,0.7354,0.7440939312491158,0.7432,0.7408448711827843,0.7398,SmallMLP-Tanh-Adagrad-0.01-0
57,0.5342,0.5188,0.5257,0.7352192362093353,0.7337,0.7449427075965483,0.7437,0.7405796332643715,0.7391,SmallMLP-Tanh-Adagrad-0.01-0
58,0.5335,0.5186,0.5254,0.7362093352192363,0.7351,0.7446597821474041,0.7438,0.7413576644917157,0.7403,SmallMLP-Tanh-Adagrad-0.01-0
59,0.5317,0.5191,0.5259,0.7362093352192363,0.7356,0.7440939312491158,0.7437,0.7408448711827843,0.7403,SmallMLP-Tanh-Adagrad-0.01-0
60,0.5318,0.5181,0.525,0.7366336633663366,0.7352,0.7456500212194087,0.7444,0.7411631566848796,0.7397,SmallMLP-Tanh-Adagrad-0.01-0
61,0.5335,0.5181,0.5249,0.735926449787836,0.7349,0.7449427075965483,0.7442,0.7419235053843297,0.741,SmallMLP-Tanh-Adagrad-0.01-0
62,0.5328,0.518,0.5248,0.7353606789250353,0.7345,0.7445183194228321,0.7439,0.7416405849380228,0.7408,SmallMLP-Tanh-Adagrad-0.01-0
63,0.5299,0.5178,0.5246,0.7356435643564356,0.7348,0.7446597821474041,0.744,0.7415521722985517,0.7407,SmallMLP-Tanh-Adagrad-0.01-0
64,0.533,0.5175,0.5243,0.734936350777935,0.734,0.7450841703211204,0.7444,0.7420649656074833,0.7412,SmallMLP-Tanh-Adagrad-0.01-0
65,0.5311,0.5172,0.524,0.7370579915134371,0.7356,0.7459329466685528,0.7448,0.7417466801053879,0.7404,SmallMLP-Tanh-Adagrad-0.01-0
66,0.5318,0.5172,0.524,0.7356435643564356,0.7348,0.7450841703211204,0.7444,0.74213569571906,0.7413,SmallMLP-Tanh-Adagrad-0.01-0
67,0.5314,0.5171,0.5238,0.7352192362093353,0.7344,0.7455085584948367,0.7449,0.7421887433027425,0.7414,SmallMLP-Tanh-Adagrad-0.01-0
68,0.5315,0.517,0.5238,0.735926449787836,0.7352,0.7460744093931249,0.7455,0.7417997276890704,0.7411,SmallMLP-Tanh-Adagrad-0.01-0
69,0.5323,0.5168,0.5236,0.7355021216407355,0.7347,0.7457914839439808,0.7452,0.7418350927448588,0.7411,SmallMLP-Tanh-Adagrad-0.01-0
70,0.5293,0.5163,0.5232,0.7356435643564356,0.7346,0.7464987975668411,0.7457,0.7425600763885205,0.7415,SmallMLP-Tanh-Adagrad-0.01-0
71,0.5319,0.5161,0.523,0.7356435643564356,0.7345,0.7467817230159853,0.7459,0.7422948384701077,0.7412,SmallMLP-Tanh-Adagrad-0.01-0
72,0.5298,0.5159,0.5228,0.7357850070721358,0.7347,0.7463573348422691,0.7455,0.7425423938606263,0.7415,SmallMLP-Tanh-Adagrad-0.01-0
73,0.532,0.5158,0.5227,0.7357850070721358,0.7346,0.7466402602914132,0.7457,0.742507028804838,0.7414,SmallMLP-Tanh-Adagrad-0.01-0
74,0.5316,0.5159,0.5227,0.7357850070721358,0.7349,0.746215872117697,0.7456,0.7425600763885205,0.7417,SmallMLP-Tanh-Adagrad-0.01-0
75,0.5276,0.5157,0.5226,0.7370579915134371,0.7353,0.7459329466685528,0.7444,0.742047283079589,0.7403,SmallMLP-Tanh-Adagrad-0.01-0
76,0.5305,0.5154,0.5222,0.7360678925035361,0.735,0.7472061111897015,0.7464,0.7427899492511449,0.7417,SmallMLP-Tanh-Adagrad-0.01-0
77,0.5275,0.5153,0.5221,0.7362093352192363,0.7353,0.746215872117697,0.7455,0.7428960444185101,0.742,SmallMLP-Tanh-Adagrad-0.01-0
78,0.5293,0.5151,0.5219,0.7366336633663366,0.7357,0.7466402602914132,0.7459,0.7427722667232508,0.7418,SmallMLP-Tanh-Adagrad-0.01-0
79,0.5287,0.5151,0.5221,0.7374823196605375,0.7357,0.7450841703211204,0.7435,0.7424009336374728,0.7407,SmallMLP-Tanh-Adagrad-0.01-0
80,0.5307,0.5149,0.5217,0.7360678925035361,0.7351,0.7463573348422691,0.7457,0.7428960444185101,0.742,SmallMLP-Tanh-Adagrad-0.01-0
81,0.5286,0.5146,0.5215,0.7371994342291373,0.7361,0.7474890366388457,0.7467,0.7426308065000973,0.7416,SmallMLP-Tanh-Adagrad-0.01-0
82,0.528,0.515,0.5217,0.7370579915134371,0.7364,0.7472061111897015,0.7467,0.7428253143069333,0.7422,SmallMLP-Tanh-Adagrad-0.01-0
83,0.5292,0.5143,0.5212,0.7362093352192363,0.7349,0.7470646484651294,0.7461,0.7430021395858752,0.7418,SmallMLP-Tanh-Adagrad-0.01-0
84,0.5266,0.5142,0.5211,0.7357850070721358,0.7343,0.7459329466685528,0.7448,0.7428783618906158,0.7415,SmallMLP-Tanh-Adagrad-0.01-0
85,0.528,0.5141,0.521,0.7360678925035361,0.7351,0.7469231857405574,0.7462,0.742613123972203,0.7417,SmallMLP-Tanh-Adagrad-0.01-0
86,0.5265,0.5139,0.5208,0.7373408769448373,0.7363,0.7472061111897015,0.7464,0.7430021395858752,0.742,SmallMLP-Tanh-Adagrad-0.01-0
