epoch,epoch_training_loss,epoch_validation_loss,validation_accuracy,validation_f1,model-activation-optimizer-lr-wd
1,0.6977,0.6941,0.49370490875654266,0.3305,SmallMLP-Sigmoid-SGD-0.1-0
2,0.695,0.697,0.5062950912434574,0.3361,SmallMLP-Sigmoid-SGD-0.1-0
3,0.696,0.6943,0.49370490875654266,0.3305,SmallMLP-Sigmoid-SGD-0.1-0
4,0.695,0.6947,0.49370490875654266,0.3305,SmallMLP-Sigmoid-SGD-0.1-0
5,0.6975,0.6968,0.5062950912434574,0.3361,SmallMLP-Sigmoid-SGD-0.1-0
6,0.6983,0.6944,0.49370490875654266,0.3305,SmallMLP-Sigmoid-SGD-0.1-0
7,0.6952,0.6952,0.49370490875654266,0.3305,SmallMLP-Sigmoid-SGD-0.1-0
8,0.6962,0.6932,0.5062950912434574,0.3361,SmallMLP-Sigmoid-SGD-0.1-0
9,0.696,0.6954,0.49370490875654266,0.3305,SmallMLP-Sigmoid-SGD-0.1-0
10,0.6957,0.6936,0.5062950912434574,0.3361,SmallMLP-Sigmoid-SGD-0.1-0
11,0.6957,0.7072,0.5062950912434574,0.3361,SmallMLP-Sigmoid-SGD-0.1-0
12,0.6961,0.7036,0.49370490875654266,0.3305,SmallMLP-Sigmoid-SGD-0.1-0
13,0.6969,0.6931,0.5062950912434574,0.3361,SmallMLP-Sigmoid-SGD-0.1-0
14,0.6962,0.6951,0.5062950912434574,0.3361,SmallMLP-Sigmoid-SGD-0.1-0
15,0.6968,0.6931,0.5062950912434574,0.3361,SmallMLP-Sigmoid-SGD-0.1-0
16,0.6947,0.6933,0.49370490875654266,0.3305,SmallMLP-Sigmoid-SGD-0.1-0
17,0.695,0.6997,0.49370490875654266,0.3305,SmallMLP-Sigmoid-SGD-0.1-0
18,0.6956,0.6936,0.49370490875654266,0.3305,SmallMLP-Sigmoid-SGD-0.1-0
19,0.6945,0.6934,0.49370490875654266,0.3305,SmallMLP-Sigmoid-SGD-0.1-0
20,0.6976,0.6938,0.49370490875654266,0.3305,SmallMLP-Sigmoid-SGD-0.1-0
21,0.6949,0.6982,0.5062950912434574,0.3361,SmallMLP-Sigmoid-SGD-0.1-0
22,0.6949,0.7026,0.49370490875654266,0.3305,SmallMLP-Sigmoid-SGD-0.1-0
23,0.6954,0.6933,0.5062950912434574,0.3361,SmallMLP-Sigmoid-SGD-0.1-0
24,0.6961,0.6933,0.49370490875654266,0.3305,SmallMLP-Sigmoid-SGD-0.1-0
25,0.6977,0.694,0.49370490875654266,0.3305,SmallMLP-Sigmoid-SGD-0.1-0
26,0.6972,0.6933,0.5062950912434574,0.3361,SmallMLP-Sigmoid-SGD-0.1-0
27,0.6953,0.6943,0.5062950912434574,0.3361,SmallMLP-Sigmoid-SGD-0.1-0
28,0.6958,0.6937,0.49370490875654266,0.3305,SmallMLP-Sigmoid-SGD-0.1-0
29,0.6958,0.6931,0.5062950912434574,0.3361,SmallMLP-Sigmoid-SGD-0.1-0
30,0.6979,0.6951,0.49370490875654266,0.3305,SmallMLP-Sigmoid-SGD-0.1-0
31,0.6959,0.704,0.49370490875654266,0.3305,SmallMLP-Sigmoid-SGD-0.1-0
32,0.6952,0.7014,0.5062950912434574,0.3361,SmallMLP-Sigmoid-SGD-0.1-0
33,0.6976,0.6931,0.5062950912434574,0.3361,SmallMLP-Sigmoid-SGD-0.1-0
34,0.695,0.6937,0.49370490875654266,0.3305,SmallMLP-Sigmoid-SGD-0.1-0
35,0.6944,0.6953,0.49370490875654266,0.3305,SmallMLP-Sigmoid-SGD-0.1-0
36,0.6953,0.7053,0.5062950912434574,0.3361,SmallMLP-Sigmoid-SGD-0.1-0
37,0.6955,0.6933,0.5062950912434574,0.3361,SmallMLP-Sigmoid-SGD-0.1-0
38,0.6957,0.6932,0.5062950912434574,0.3361,SmallMLP-Sigmoid-SGD-0.1-0
39,0.6951,0.695,0.49370490875654266,0.3305,SmallMLP-Sigmoid-SGD-0.1-0
40,0.6945,0.6953,0.5062950912434574,0.3361,SmallMLP-Sigmoid-SGD-0.1-0
41,0.6959,0.6944,0.49370490875654266,0.3305,SmallMLP-Sigmoid-SGD-0.1-0
42,0.6961,0.6936,0.49370490875654266,0.3305,SmallMLP-Sigmoid-SGD-0.1-0
43,0.6954,0.6933,0.5062950912434574,0.3361,SmallMLP-Sigmoid-SGD-0.1-0
44,0.6948,0.6934,0.49370490875654266,0.3305,SmallMLP-Sigmoid-SGD-0.1-0
45,0.6952,0.6936,0.5062950912434574,0.3361,SmallMLP-Sigmoid-SGD-0.1-0
46,0.6947,0.6933,0.49370490875654266,0.3305,SmallMLP-Sigmoid-SGD-0.1-0
47,0.6966,0.6931,0.5062950912434574,0.3361,SmallMLP-Sigmoid-SGD-0.1-0
48,0.6942,0.6972,0.49370490875654266,0.3305,SmallMLP-Sigmoid-SGD-0.1-0
49,0.6943,0.7035,0.5062950912434574,0.3361,SmallMLP-Sigmoid-SGD-0.1-0
50,0.6967,0.6946,0.5062950912434574,0.3361,SmallMLP-Sigmoid-SGD-0.1-0
51,0.6956,0.6942,0.49370490875654266,0.3305,SmallMLP-Sigmoid-SGD-0.1-0
52,0.6949,0.694,0.5062950912434574,0.3361,SmallMLP-Sigmoid-SGD-0.1-0
53,0.6952,0.6931,0.5062950912434574,0.3361,SmallMLP-Sigmoid-SGD-0.1-0
54,0.6939,0.6936,0.49370490875654266,0.3305,SmallMLP-Sigmoid-SGD-0.1-0
55,0.6954,0.6936,0.5062950912434574,0.3361,SmallMLP-Sigmoid-SGD-0.1-0
56,0.6957,0.6935,0.5062950912434574,0.3361,SmallMLP-Sigmoid-SGD-0.1-0
57,0.6936,0.6977,0.5062950912434574,0.3361,SmallMLP-Sigmoid-SGD-0.1-0
58,0.6946,0.6996,0.49370490875654266,0.3305,SmallMLP-Sigmoid-SGD-0.1-0
59,0.6968,0.6936,0.49370490875654266,0.3305,SmallMLP-Sigmoid-SGD-0.1-0
60,0.6942,0.7031,0.49370490875654266,0.3305,SmallMLP-Sigmoid-SGD-0.1-0
61,0.6959,0.6972,0.49370490875654266,0.3305,SmallMLP-Sigmoid-SGD-0.1-0
62,0.697,0.6959,0.5062950912434574,0.3361,SmallMLP-Sigmoid-SGD-0.1-0
63,0.6947,0.6939,0.5062950912434574,0.3361,SmallMLP-Sigmoid-SGD-0.1-0
64,0.6951,0.704,0.49370490875654266,0.3305,SmallMLP-Sigmoid-SGD-0.1-0
65,0.6951,0.695,0.49370490875654266,0.3305,SmallMLP-Sigmoid-SGD-0.1-0
66,0.694,0.6931,0.5062950912434574,0.3361,SmallMLP-Sigmoid-SGD-0.1-0
