DEVICE;suministro;cliente;contrato;fecha_inicio;sea;distribuidor;subestacion;zona;distrito;distrito_descripcion;grupo_lectura;ruta_lectura;orden_lectura;grupo_tarifario;codigo_tarifa;tarifa
974;01_DT05;OKYEEH;1;1990-06-30Z;CERRO;13_HUINCAN;3017;A;1;CORDOBA;1;1268;102;1;140;1.a/f RESIDENCIAL
975;01_DT06;QCSDZWC;1;2004-02-12Z;SRBUSTO;13_ELCONDOR;3023;A;1;CORDOBA;1;89;109;1;140;1.a/f RESIDENCIAL
976;01_DT07;VMRWSN;5;2005-12-22Z;SRBUSTO;13_ELCONDOR;2181;A;1;CORDOBA;1;89;181;1;140;1.a/f RESIDENCIAL
977;01_DT08;TTCXZCI;3;2014-04-11Z;SRBUSTO;13_ELCONDOR;3023;A;1;CORDOBA;1;89;176;1;140;1.a/f RESIDENCIAL
978;01_DT09;EOLXKCV;8;2024-02-15Z;CERRO;13_RNUNIEZ;3163;A;1;CORDOBA;1;1279;242;2;240;2 GENERAL Y DE SERVICIOS
979;01_DT10;CGYAKHN;6;2010-04-29Z;CERRO;13_RNUNIEZ;3163;A;1;CORDOBA;1;1281;140;2;240;2 GENERAL Y DE SERVICIOS
980;01_DU01;TLATLK;1;1998-12-08Z;SOBREM;13_HUINCAN;5022;A;1;CORDOBA;1;1470;79;1;140;1.a/f RESIDENCIAL
981;01_DU02;GWQGIW;1;1990-06-30Z;SOBREM;13_ELCONDOR;3046;A;1;CORDOBA;1;1301;132;1;140;1.a/f RESIDENCIAL
982;01_DU03;CEDFKT;2;2000-03-13Z;SOBREM;13_HUINCAN;3235;A;1;CORDOBA;1;1301;111;1;140;1.a/f RESIDENCIAL
983;01_DU04;QPRIJSL;4;2001-06-20Z;CERRO;13_ALTOVERDE;2845;A;1;CORDOBA;1;1268;55;1;140;1.a/f RESIDENCIAL
984;01_DU05;ZHCCHOO;4;2017-03-01Z;SRBUSTO;13_RNUNIEZ;5084;A;1;CORDOBA;1;1700;83;1;140;1.a/f RESIDENCIAL
985;01_DU06;KCBUMWO;3;2014-02-26Z;SRBUSTO;13_ELCONDOR;3046;A;1;CORDOBA;1;1700;77;1;190;Residencial
986;01_DU07;CBDIVNL;3;2016-08-02Z;SRBUSTO;13_ELCONDOR;3046;A;1;CORDOBA;1;1700;76;1;190;Residencial
987;01_DU08;DXMALYL;7;2017-10-20Z;SRBUSTO;13_ELCONDOR;3023;A;1;CORDOBA;1;1240;339;1;140;1.a/f RESIDENCIAL
988;01_DU09;KTZYJJZ;1;2011-01-12Z;DBOSCO;13_POZOVERDE;3213;A;1;CORDOBA;1;1229;352;1;140;1.a/f RESIDENCIAL
989;01_DU10;UFIFGC;6;2015-10-01Z;DBOSCO;13_POZOVERDE;2332;A;1;CORDOBA;1;1229;378;1;140;1.a/f RESIDENCIAL
990;01_DV01;ZEXBIBQ;1;2010-11-12Z;DBOSCO;13_POZOVERDE;2332;A;1;CORDOBA;1;1229;357;1;140;1.a/f RESIDENCIAL
991;01_DV02;OFFSWE;1;1990-06-30Z;CERRO;13_RNUNIEZ;3026;A;1;CORDOBA;1;1281;30;1;140;1.a/f RESIDENCIAL
992;01_DV03;OHNKANK;2;2010-05-20Z;SOBREM;13_ELCONDOR;3046;A;1;CORDOBA;1;1700;18;1;140;1.a/f RESIDENCIAL
993;01_DV04;WRYCCJR;2;2016-10-04Z;SOBREM;13_ELCONDOR;3046;A;1;CORDOBA;1;1700;19;1;140;1.a/f RESIDENCIAL
994;01_DV05;AOFWPI;1;1990-06-30Z;SOBREM;13_ELCONDOR;3046;A;1;CORDOBA;1;1700;23;1;140;1.a/f RESIDENCIAL
995;01_DV06;SDGKMG;1;1990-06-30Z;SRBUSTO;13_RNUNIEZ;5084;A;1;CORDOBA;1;1700;277;1;140;1.a/f RESIDENCIAL
996;01_DV07;CGLEOEA;5;2017-05-30Z;SRBUSTO;13_RNUNIEZ;5084;A;1;CORDOBA;1;1700;214;1;140;1.a/f RESIDENCIAL
997;01_DV08;JEMJTC;1;2011-07-25Z;SRBUSTO;13_ELCONDOR;3023;A;1;CORDOBA;1;1700;352;2;240;2 GENERAL Y DE SERVICIOS
998;01_DV09;DAOREB;1;1990-06-30Z;SRBUSTO;13_ELCONDOR;2720;A;1;CORDOBA;1;89;43;1;140;1.a/f RESIDENCIAL
999;01_DV10;NHNUYMN;4;2020-07-15Z;SRBUSTO;13_ELCONDOR;3023;A;1;CORDOBA;1;1700;354;1;140;1.a/f RESIDENCIAL
1000;01_DW01;CZTQRLM;4;2012-11-21Z;SRBUSTO;13_ELCONDOR;3023;A;1;CORDOBA;1;1700;323;1;140;1.a/f RESIDENCIAL
1001;01_DW02;UGVHTSS;2;2016-09-02Z;SOBREM;13_HUINCAN;3244;A;1;CORDOBA;1;1700;107;1;140;1.a/f RESIDENCIAL
1002;01_DW03;BXZEHDB;9;2018-09-03Z;SOBREM;13_HUINCAN;3235;A;1;CORDOBA;1;1470;124;1;190;Residencial
1003;01_DW04;LIIEWX;4;2011-11-24Z;SOBREM;13_HUINCAN;3235;A;1;CORDOBA;1;1470;125;1;140;1.a/f RESIDENCIAL
1004;01_DW05;ZVZRWHD;4;2022-09-05Z;CERRO;13_RNUNIEZ;3163;A;1;CORDOBA;1;1279;19;2;240;2 GENERAL Y DE SERVICIOS
1005;01_DW06;XVKIOJU;4;2020-06-09Z;CERRO;13_RNUNIEZ;3163;A;1;CORDOBA;1;1279;12;1;140;1.a/f RESIDENCIAL
1006;01_DW07;NJFMCHW;1;2012-03-23Z;CERRO;13_RNUNIEZ;3163;A;1;CORDOBA;1;1279;14;1;140;1.a/f RESIDENCIAL
1007;01_DW08;PQUMNX;1;1990-06-30Z;CERRO;13_ALTOVERDE;3129;A;1;CORDOBA;1;1242;156;1;140;1.a/f RESIDENCIAL
1008;01_DW09;PPFIIGO;6;2017-09-08Z;CERRO;13_RNUNIEZ;4190;A;1;CORDOBA;1;1279;3;1;140;1.a/f RESIDENCIAL
1009;01_DW10;BCJYPKI;2;2015-03-30Z;SOBREM;13_HUINCAN;3235;A;1;CORDOBA;1;1301;120;1;140;1.a/f RESIDENCIAL
1010;01_DX01;QNCXOA;2;1998-10-09Z;SOBREM;13_ELCONDOR;3046;A;1;CORDOBA;1;1700;168;1;140;1.a/f RESIDENCIAL
1011;01_DX02;VNDKWCF;1;2016-09-06Z;SOBREM;13_HUINCAN;3244;A;1;CORDOBA;1;1301;202;1;140;1.a/f RESIDENCIAL
1012;01_DX03;SGRIVR;1;1990-06-30Z;SOBREM;13_HUINCAN;5022;A;1;CORDOBA;1;1470;12;1;140;1.a/f RESIDENCIAL
1013;01_DX04;XYQKYC;2;1996-09-25Z;SOBREM;13_HUINCAN;3235;A;1;CORDOBA;1;1470;118;1;140;1.a/f RESIDENCIAL
1014;01_DX05;ZGZXETD;1;2009-10-30Z;SRBUSTO;13_ELCONDOR;2720;A;1;CORDOBA;1;89;169;1;140;1.a/f RESIDENCIAL
1015;01_DX06;VKLREUK;4;2024-05-08Z;SOBREM;13_RNUNIEZ;3214;A;1;CORDOBA;1;1279;147;1;140;1.a/f RESIDENCIAL
1016;01_DX07;IVYHAS;2;2019-03-15Z;CERRO;13_RNUNIEZ;3214;A;1;CORDOBA;1;1279;153;1;140;1.a/f RESIDENCIAL
1017;01_DX08;KOMFBJX;4;2016-11-15Z;SRBUSTO;13_HUINCAN;3244;A;1;CORDOBA;1;1700;7;2;240;2 GENERAL Y DE SERVICIOS
