DEVICE;suministro;cliente;contrato;fecha_inicio;sea;distribuidor;subestacion;zona;distrito;distrito_descripcion;grupo_lectura;ruta_lectura;orden_lectura;grupo_tarifario;codigo_tarifa;tarifa
0;01_AA01;LZKVIR;3;2010-06-08Z;DBOSCO;13_ACHATEAU;5282;A;1;CORDOBA;1;1223;168;1;190;Residencial
1;01_AA02;EVLNRMZ;5;2014-05-06Z;DBOSCO;13_ACHATEAU;5311;A;1;CORDOBA;1;1223;90;1;140;1.a/f RESIDENCIAL
2;01_AA03;RXXDNSQ;4;2023-10-25Z;DBOSCO;13_ACHATEAU;5076;A;1;CORDOBA;1;1223;414;1;140;1.a/f RESIDENCIAL
3;01_AA04;ZTHSMEW;2;2022-08-17Z;;13_ACHATEAU;5311;A;1;CORDOBA;1;1223;6;1;140;1.a/f RESIDENCIAL
4;01_AA05;IELVEK;1;1990-06-30Z;DFUNES;13_CARAFA;1685;A;1;CORDOBA;3;1261;37;1;140;1.a/f RESIDENCIAL
5;01_AA06;XXVLQEL;2;2022-03-25Z;DFUNES;13_CBARROS;4652;A;1;CORDOBA;3;1261;229;1;140;1.a/f RESIDENCIAL
6;01_AA07;KSOUQKE;9;2012-08-21Z;DFUNES;13_CARAFA;1321;A;1;CORDOBA;3;1258;200;1;190;Residencial
7;01_AA08;CIFEPWJ;4;2012-05-04Z;DFUNES;13_CARAFA;859;A;1;CORDOBA;3;1261;183;1;140;1.a/f RESIDENCIAL
8;01_AA09;LXDBOKG;3;2005-05-11Z;DFUNES;13_CARAFA;859;A;1;CORDOBA;3;1261;178;1;190;Residencial
9;01_AA10;VMLCEF;1;1997-08-13Z;DBOSCO;13_ACHATEAU;5283;A;1;CORDOBA;1;1223;105;1;140;1.a/f RESIDENCIAL
10;01_AB01;NQTOYNV;7;2019-03-13Z;ARGUE;13_PENIAROL;2470;A;1;CORDOBA;1;1292;283;1;140;1.a/f RESIDENCIAL
11;01_AB02;FRBWBY;2;1996-10-29Z;DFUNES;13_CBARROS;4652;A;1;CORDOBA;3;1260;1;1;140;1.a/f RESIDENCIAL
12;01_AB03;HJRAYR;3;1999-03-31Z;DBOSCO;13_ACHATEAU;5282;A;1;CORDOBA;1;1223;140;1;140;1.a/f RESIDENCIAL
13;01_AB04;CZCWYSE;8;2024-02-06Z;DBOSCO;13_ACHATEAU;3124;A;1;CORDOBA;20;1893;37;2;240;2 GENERAL Y DE SERVICIOS
14;01_AB05;VJPZCL;1;1990-06-30Z;SOBREM;13_CARAFA;1321;A;1;CORDOBA;3;1258;51;2;240;2 GENERAL Y DE SERVICIOS
15;01_AB06;XAJKSX;3;2012-01-16Z;DFUNES;13_CARAFA;1321;A;1;CORDOBA;3;1258;181;1;140;1.a/f RESIDENCIAL
16;01_AB07;KXYPNPK;7;2019-08-09Z;DFUNES;13_CARAFA;859;A;1;CORDOBA;3;1262;6;1;140;1.a/f RESIDENCIAL
17;01_AB08;XXHNUAU;12;2023-07-21Z;DFUNES;13_CARAFA;859;A;1;CORDOBA;3;1262;123;1;140;1.a/f RESIDENCIAL
18;01_AB09;LQPGIPP;5;2017-10-11Z;DFUNES;13_CARAFA;859;A;1;CORDOBA;3;1262;13;1;190;Residencial
19;01_AB10;KRXKNSI;6;2022-04-29Z;ARGUE;13_PENIAROL;3008;A;1;CORDOBA;1;1236;125;1;140;1.a/f RESIDENCIAL
20;01_AC01;IFLMJBQ;1;2013-05-14Z;DBOSCO;13_ACHATEAU;5283;A;1;CORDOBA;1;1223;94;1;140;1.a/f RESIDENCIAL
21;01_AC02;KWZAJR;1;1990-06-30Z;DFUNES;13_CBARROS;4652;A;1;CORDOBA;3;1262;25;1;140;1.a/f RESIDENCIAL
22;01_AC03;YAOBJB;1;1990-06-30Z;DFUNES;13_CBARROS;4652;A;1;CORDOBA;3;1262;91;1;190;Residencial
23;01_AC04;ZXEMMQG;9;2023-01-20Z;DFUNES;13_CARAFA;1321;A;1;CORDOBA;3;1262;45;1;140;1.a/f RESIDENCIAL
24;01_AC05;UMSNSS;1;1990-06-30Z;DFUNES;13_CARAFA;859;A;1;CORDOBA;3;1261;176;1;140;1.a/f RESIDENCIAL
25;01_AC06;PLVFEKI;3;2009-06-01Z;DFUNES;13_CARAFA;388;A;1;CORDOBA;3;1260;29;1;140;1.a/f RESIDENCIAL
26;01_AC07;WUUCXHA;1;2019-01-10Z;DFUNES;13_CARAFA;388;A;1;CORDOBA;3;1260;34;1;140;1.a/f RESIDENCIAL
27;01_AC08;VTNAXAO;1;2015-08-18Z;DFUNES;13_COMERCIAL;5820;A;1;CORDOBA;3;1262;129;2;240;2 GENERAL Y DE SERVICIOS
28;01_AC09;PTAGZQR;1;2006-01-11Z;DFUNES;13_CARAFA;1321;A;1;CORDOBA;3;1262;119;1;140;1.a/f RESIDENCIAL
29;01_AC10;EPMNDP;1;1998-03-26Z;DFUNES;13_CARAFA;1321;A;1;CORDOBA;3;1262;142;1;140;1.a/f RESIDENCIAL
30;01_AD01;IOYKHPN;3;2023-01-24Z;ARGUE;13_VBELGRANO;3033;A;1;CORDOBA;1;1222;81;1;140;1.a/f RESIDENCIAL
31;01_AD02;ATUAKV;3;2005-07-26Z;CERRO;13_LASALLE;3065;A;1;CORDOBA;1;1238;228;1;190;Residencial
32;01_AD03;WEKEHY;2;2004-06-14Z;ARGUE;13_BOULEVARES;3109;A;1;CORDOBA;1;1209;9;1;140;1.a/f RESIDENCIAL
33;01_AD04;GRTYKLR;1;2016-09-02Z;ARGUE;13_VBELGRANO;3033;A;1;CORDOBA;1;1887;300;1;140;1.a/f RESIDENCIAL
34;01_AD05;MHUEEQ;1;2009-10-23Z;DFUNES;13_CARAFA;1321;A;1;CORDOBA;3;1258;183;1;190;Residencial
35;01_AD06;FOHAVJ;1;1990-06-30Z;DFUNES;13_CARAFA;1073;A;1;CORDOBA;3;1258;188;1;140;1.a/f RESIDENCIAL
36;01_AD07;RBRGDNE;1;2020-08-05Z;;13_ACHATEAU;5311;A;1;CORDOBA;1;1223;350;1;140;1.a/f RESIDENCIAL
37;01_AD08;JXLHQI;8;2019-03-06Z;SOBREM;13_CARAFA;1321;A;1;CORDOBA;3;1258;55;1;140;1.a/f RESIDENCIAL
38;01_AD09;ULTLHM;3;2013-09-27Z;SOBREM;13_CARAFA;1321;A;1;CORDOBA;3;1258;47;1;190;Residencial
39;01_AD10;KCVPJC;3;2017-05-18Z;DFUNES;13_OPERA;734;A;1;CORDOBA;1;1253;795;1;140;1.a/f RESIDENCIAL
40;01_AE01;ORSJJER;5;2023-03-29Z;DFUNES;13_OPERA;734;A;1;CORDOBA;1;1253;798;1;140;1.a/f RESIDENCIAL
41;01_AE02;DNZZBH;4;2022-11-15Z;DFUNES;13_OPERA;4771;A;1;CORDOBA;1;1253;508;2;240;2 GENERAL Y DE SERVICIOS
42;01_AE03;SFUMJP;1;1990-06-30Z;DFUNES;13_OPERA;4648;A;1;CORDOBA;1;1272;59;1;140;1.a/f RESIDENCIAL
43;01_AE04;XSQRGP;9;2003-07-11Z;DFUNES;13_OPERA;4648;A;1;CORDOBA;3;1288;62;1;140;1.a/f RESIDENCIAL
44;01_AE05;FPIRNFA;5;2010-10-01Z;DFUNES;13_OPERA;4648;A;1;CORDOBA;3;1288;51;1;140;1.a/f RESIDENCIAL
45;01_AE06;LFQHBPM;1;2004-07-26Z;DFUNES;13_OPERA;846;A;1;CORDOBA;1;1255;198;1;140;1.a/f RESIDENCIAL
46;01_AE07;IGDTEQC;4;2022-09-16Z;DFUNES;13_OPERA;3560;A;1;CORDOBA;1;1253;725;1;140;1.a/f RESIDENCIAL
47;01_AE08;LCNYOE;5;2003-09-29Z;DFUNES;13_OPERA;4770;A;1;CORDOBA;1;1253;745;1;190;Residencial
48;01_AE09;OPXHXDE;8;2018-06-28Z;CERRO;13_OPERA;846;A;1;CORDOBA;1;1255;178;1;140;1.a/f RESIDENCIAL
49;01_AE10;WQBGHDB;2;2004-11-05Z;DFUNES;13_OPERA;846;A;1;CORDOBA;1;1282;20;1;140;1.a/f RESIDENCIAL
50;01_AF01;IUVJUPE;3;2023-08-03Z;DFUNES;13_OPERA;846;A;1;CORDOBA;1;1282;22;1;140;1.a/f RESIDENCIAL
51;01_AF02;EWSGHI;1;1990-06-30Z;CERRO;13_PALERMO;1158;A;1;CORDOBA;1;1284;23;1;140;1.a/f RESIDENCIAL
52;01_AF03;MHNHTI;3;2014-04-08Z;CERRO;13_PALERMO;1158;A;1;CORDOBA;1;1283;92;1;140;1.a/f RESIDENCIAL
53;01_AF04;MJMIKFG;5;2019-11-22Z;DFUNES;13_OPERA;846;A;1;CORDOBA;1;1282;79;1;140;1.a/f RESIDENCIAL
54;01_AF05;WKAMMY;1;1990-06-30Z;DFUNES;13_OPERA;846;A;1;CORDOBA;1;1282;101;1;150;1.h   RESIDENCIAL
55;01_AF06;TZIPYH;6;2013-04-17Z;DFUNES;13_OPERA;846;A;1;CORDOBA;1;1282;30;1;140;1.a/f RESIDENCIAL
56;01_AF07;ZJPRWVL;2;2004-04-13Z;DFUNES;13_OPERA;1317;A;1;CORDOBA;1;1282;208;1;140;1.a/f RESIDENCIAL
57;01_AF08;ZIQBOT;3;2006-07-31Z;CERRO;13_OPERA;846;A;1;CORDOBA;1;1282;122;1;140;1.a/f RESIDENCIAL
58;01_AF09;BSPRWJX;3;2018-10-23Z;CERRO;13_PALERMO;5204;A;1;CORDOBA;1;1282;268;1;140;1.a/f RESIDENCIAL
59;01_AF10;KMKMEM;7;2024-05-20Z;CERRO;13_OPERA;846;A;1;CORDOBA;1;1282;236;1;140;1.a/f RESIDENCIAL
60;01_AG01;VSTHWY;1;1990-06-30Z;CERRO;13_PALERMO;5204;A;1;CORDOBA;1;1255;106;1;144;1.d RESID.COMERCIAL
61;01_AG02;IRRFTTT;7;2021-08-06Z;CERRO;13_PALERMO;5204;A;1;CORDOBA;1;1255;109;1;140;1.a/f RESIDENCIAL
62;01_AG03;GOXRJNI;2;2017-05-26Z;CERRO;13_PALERMO;5204;A;1;CORDOBA;1;1255;22;1;190;Residencial
63;01_AG04;CREAFQ;1;1990-06-30Z;CERRO;13_PALERMO;1319;A;1;CORDOBA;1;1256;204;1;140;1.a/f RESIDENCIAL
64;01_AG05;CWFNLR;6;2023-10-06Z;CERRO;13_PALERMO;1319;A;1;CORDOBA;1;1256;200;1;140;1.a/f RESIDENCIAL
65;01_AG06;MBBEBY;3;1999-02-08Z;CERRO;13_PALERMO;4672;A;1;CORDOBA;1;1256;342;1;140;1.a/f RESIDENCIAL
66;01_AG07;EABYQI;1;1990-06-30Z;CERRO;13_PALERMO;1161;A;1;CORDOBA;1;1284;184;1;140;1.a/f RESIDENCIAL
67;01_AG08;QNZVFYQ;3;2012-12-19Z;DFUNES;13_OPERA;846;A;1;CORDOBA;1;1282;24;1;140;1.a/f RESIDENCIAL
68;01_AG09;CPTNEP;2;2003-03-10Z;CERRO;13_PALERMO;1161;A;1;CORDOBA;1;1284;121;1;140;1.a/f RESIDENCIAL
69;01_AG10;HJVYUNN;2;2016-01-28Z;CERRO;13_PALERMO;1161;A;1;CORDOBA;1;1284;190;1;180;Resid TSP Caren Dto. 43/19
70;01_AH01;BUCZWI;1;1990-06-30Z;DFUNES;13_OPERA;3982;A;1;CORDOBA;1;1253;7;1;140;1.a/f RESIDENCIAL
71;01_AH02;TIUTFO;1;1990-06-30Z;DFUNES;13_OPERA;3982;A;1;CORDOBA;1;1253;323;1;140;1.a/f RESIDENCIAL
72;01_AH03;CEWRYVO;3;2019-05-16Z;CERRO;13_OPERA;846;A;1;CORDOBA;3;1288;17;1;140;1.a/f RESIDENCIAL
73;01_AH04;FTJMVQ;1;1990-06-30Z;CERRO;13_PALERMO;5204;A;1;CORDOBA;1;1255;14;1;140;1.a/f RESIDENCIAL
74;01_AH05;VOLKCF;2;1997-10-29Z;DFUNES;13_OPERA;846;A;1;CORDOBA;1;1282;215;1;140;1.a/f RESIDENCIAL
75;01_AH06;HPKOUS;1;1990-06-30Z;CERRO;13_PALERMO;1161;A;1;CORDOBA;1;1255;86;1;140;1.a/f RESIDENCIAL
76;01_AH07;WVWSMB;2;1997-05-14Z;CERRO;13_PALERMO;1161;A;1;CORDOBA;1;1255;160;1;180;Resid TSP Caren Dto. 43/19
77;01_AH08;SSHQNR;5;2024-02-05Z;CERRO;13_OPERA;846;A;1;CORDOBA;1;1282;279;1;140;1.a/f RESIDENCIAL
78;01_AH09;JEUDPYR;2;2004-11-10Z;CERRO;13_PALERMO;1158;A;1;CORDOBA;1;1283;100;1;144;1.d RESID.COMERCIAL
79;01_AH10;LNPVKGV;2;2021-01-25Z;CERRO;13_PALERMO;5204;A;1;CORDOBA;1;1283;75;1;140;1.a/f RESIDENCIAL
80;01_AI01;GAXJGH;1;2004-02-27Z;CERRO;13_PALERMO;5204;A;1;CORDOBA;1;1284;228;1;140;1.a/f RESIDENCIAL
81;01_AI02;EJLEOY;7;2020-06-22Z;CERRO;13_PALERMO;1161;A;1;CORDOBA;1;1284;173;1;140;1.a/f RESIDENCIAL
82;01_AI03;YXWRLS;1;1990-06-30Z;CERRO;13_PALERMO;1161;A;1;CORDOBA;1;1255;151;1;140;1.a/f RESIDENCIAL
83;01_AI04;MWJNVQ;2;2009-06-01Z;CERRO;13_PALERMO;1161;A;1;CORDOBA;1;1255;154;1;140;1.a/f RESIDENCIAL
84;01_AI05;NEVZIBR;2;2019-10-03Z;DFUNES;13_OPERA;4772;A;1;CORDOBA;1;1253;135;1;140;1.a/f RESIDENCIAL
85;01_AI06;YNWBIQJ;5;2022-03-29Z;DFUNES;13_OPERA;4772;A;1;CORDOBA;1;1253;96;1;140;1.a/f RESIDENCIAL
86;01_AI07;NOKSJRE;4;2024-02-28Z;DFUNES;13_OPERA;4772;A;1;CORDOBA;1;1253;265;1;140;1.a/f RESIDENCIAL
87;01_AI08;NSQGUS;1;1990-06-30Z;DFUNES;13_OPERA;846;A;1;CORDOBA;3;1288;33;1;140;1.a/f RESIDENCIAL
88;01_AI09;BTBFNCI;2;2011-12-27Z;DFUNES;13_OPERA;846;A;1;CORDOBA;3;1288;32;1;140;1.a/f RESIDENCIAL
89;01_AI10;JQDZMB;1;1990-06-30Z;CERRO;13_PALERMO;1161;A;1;CORDOBA;1;1255;62;1;140;1.a/f RESIDENCIAL
90;01_AJ01;BTROMIR;3;2008-08-13Z;CERRO;13_PALERMO;1158;A;1;CORDOBA;1;1255;37;1;140;1.a/f RESIDENCIAL
91;01_AJ02;SUFIIQ;1;1990-06-30Z;DFUNES;13_OPERA;846;A;1;CORDOBA;1;1282;55;1;140;1.a/f RESIDENCIAL
92;01_AJ03;HSDRRO;1;1990-06-30Z;DFUNES;13_OPERA;846;A;1;CORDOBA;1;1282;89;1;140;1.a/f RESIDENCIAL
93;01_AJ04;KZOTWI;3;1998-04-13Z;CERRO;13_OPERA;846;A;1;CORDOBA;1;1255;90;1;140;1.a/f RESIDENCIAL
94;01_AJ05;IOLHAD;1;1990-06-30Z;CERRO;13_PALERMO;5204;A;1;CORDOBA;1;1255;107;1;190;Residencial
95;01_AJ06;XAATPAY;4;2016-04-15Z;CERRO;13_PALERMO;5204;A;1;CORDOBA;1;1284;245;1;140;1.a/f RESIDENCIAL
96;01_AJ07;UEWNRW;1;1990-06-30Z;CERRO;13_OPERA;846;A;1;CORDOBA;1;1282;138;1;140;1.a/f RESIDENCIAL
97;01_AJ08;PTZFXA;1;1990-06-30Z;CERRO;13_PALERMO;5204;A;1;CORDOBA;1;1284;221;1;140;1.a/f RESIDENCIAL
98;01_AJ09;WKOGKOO;4;2004-04-12Z;DFUNES;13_OPERA;1318;A;1;CORDOBA;1;1283;66;1;140;1.a/f RESIDENCIAL
99;01_AJ10;HFXOZQV;2;2022-03-04Z;CERRO;13_PALERMO;5204;A;1;CORDOBA;1;1284;219;1;140;1.a/f RESIDENCIAL
100;01_AK01;XHHSBJH;2;2013-11-05Z;DFUNES;13_OPERA;4648;A;1;CORDOBA;1;1255;206;1;140;1.a/f RESIDENCIAL
101;01_AK02;SPUOLTH;1;2006-04-26Z;DFUNES;13_OPERA;1318;A;1;CORDOBA;1;1272;129;1;180;Resid TSP Caren Dto. 43/19
102;01_AK03;MDEDRNW;5;2017-05-29Z;DFUNES;13_OPERA;1900;A;1;CORDOBA;1;1272;9;1;140;1.a/f RESIDENCIAL
103;01_AK04;JWIALX;1;1990-06-30Z;DFUNES;13_OPERA;1318;A;1;CORDOBA;1;1272;33;1;140;1.a/f RESIDENCIAL
104;01_AK05;SDBMQO;1;1990-06-30Z;DFUNES;13_OPERA;1318;A;1;CORDOBA;1;1272;130;1;140;1.a/f RESIDENCIAL
105;01_AK06;SGBBOH;3;1998-02-10Z;DFUNES;13_OPERA;1318;A;1;CORDOBA;1;1272;195;1;190;Residencial
106;01_AK07;HYINYC;2;2004-09-03Z;DFUNES;13_OPERA;1318;A;1;CORDOBA;1;1272;113;1;140;1.a/f RESIDENCIAL
107;01_AK08;LGCSXB;1;1990-06-30Z;DFUNES;13_OPERA;1318;A;1;CORDOBA;1;1272;18;1;140;1.a/f RESIDENCIAL
108;01_AK09;KYTLUT;1;1990-06-30Z;DFUNES;13_OPERA;1900;A;1;CORDOBA;1;1282;51;1;150;1.h   RESIDENCIAL
109;01_AK10;GIACNSJ;2;2022-12-21Z;DFUNES;13_OPERA;1318;A;1;CORDOBA;1;1272;161;1;140;1.a/f RESIDENCIAL
110;01_AL01;LOBUPQB;3;2019-07-29Z;DFUNES;13_OPERA;1318;A;1;CORDOBA;1;1272;16;1;140;1.a/f RESIDENCIAL
111;01_AL02;PEJDHUP;11;2019-04-10Z;DFUNES;13_OPERA;1318;A;1;CORDOBA;1;1272;167;1;140;1.a/f RESIDENCIAL
112;01_AL03;CWLPWOM;4;2021-03-29Z;DFUNES;13_OPERA;458;A;1;CORDOBA;1;1272;303;1;140;1.a/f RESIDENCIAL
113;01_AL04;VFTUSGP;4;2007-05-07Z;DFUNES;13_OPERA;458;A;1;CORDOBA;1;1272;269;1;140;1.a/f RESIDENCIAL
114;01_AL05;QVIVPXN;7;2022-06-02Z;DFUNES;13_OPERA;458;A;1;CORDOBA;1;1272;302;1;140;1.a/f RESIDENCIAL
115;01_AL06;KDWMBC;1;1990-06-30Z;DFUNES;13_OPERA;458;A;1;CORDOBA;1;1272;294;1;140;1.a/f RESIDENCIAL
116;01_AL07;CUEGDCZ;9;2022-08-01Z;DFUNES;13_OPERA;458;A;1;CORDOBA;1;1272;322;1;140;1.a/f RESIDENCIAL
117;01_AL08;CDRJOO;1;1990-06-30Z;DFUNES;13_OPERA;458;A;1;CORDOBA;1;1272;323;1;140;1.a/f RESIDENCIAL
118;01_AL09;OOHQFZ;1;1990-06-30Z;DFUNES;13_OPERA;458;A;1;CORDOBA;1;1272;290;1;190;Residencial
119;01_AL10;SOCGPZ;1;1990-06-30Z;DFUNES;13_OPERA;458;A;1;CORDOBA;1;1272;279;1;140;1.a/f RESIDENCIAL
120;01_AM01;KXZIIOG;1;2020-09-15Z;DFUNES;13_OPERA;458;A;1;CORDOBA;1;1272;259;1;140;1.a/f RESIDENCIAL
121;01_AM02;LSAHCM;1;1990-06-30Z;DFUNES;13_OPERA;4648;A;1;CORDOBA;1;1282;69;1;140;1.a/f RESIDENCIAL
122;01_AM03;VZXOPW;1;1990-06-30Z;DFUNES;13_OPERA;1318;A;1;CORDOBA;1;1272;137;1;140;1.a/f RESIDENCIAL
123;01_AM04;FROEACY;3;2003-12-29Z;DFUNES;13_OPERA;4648;A;1;CORDOBA;1;1272;60;1;140;1.a/f RESIDENCIAL
124;01_AM05;DIVRWKI;4;2024-02-23Z;DFUNES;13_OPERA;1318;A;1;CORDOBA;1;1272;159;1;140;1.a/f RESIDENCIAL
125;01_AM06;PTRSWYU;3;2023-11-15Z;DFUNES;13_OPERA;1318;A;1;CORDOBA;1;1272;48;1;140;1.a/f RESIDENCIAL
126;01_AM07;FWFGCM;2;2022-10-18Z;DBOSCO;13_URCA;3139;A;1;CORDOBA;1;1296;91;1;140;1.a/f RESIDENCIAL
127;01_AM08;FUQOTWQ;3;2007-08-30Z;CERRO;13_URCA;3139;A;1;CORDOBA;1;1420;23;1;140;1.a/f RESIDENCIAL
128;01_AM09;ZHDTNUA;3;2007-08-30Z;CERRO;13_URCA;3139;A;1;CORDOBA;1;1420;23;1;140;1.a/f RESIDENCIAL
129;01_AM10;MOCHWP;1;1990-06-30Z;CERRO;13_PALERMO;2374;A;1;CORDOBA;1;1091;124;1;140;1.a/f RESIDENCIAL
130;01_AN01;BORYWO;1;2006-12-28Z;DFUNES;13_OPERA;2812;A;1;CORDOBA;1;1091;7;1;140;1.a/f RESIDENCIAL
131;01_AN02;YUSYZQO;1;2021-07-30Z;DFUNES;13_OPERA;2812;A;1;CORDOBA;1;1091;1;1;140;1.a/f RESIDENCIAL
132;01_AN03;ZYIIGB;2;1996-12-30Z;DFUNES;13_OPERA;2812;A;1;CORDOBA;1;1091;137;1;140;1.a/f RESIDENCIAL
133;01_AN04;BZFWUJ;1;1990-06-30Z;DFUNES;13_PALERMO;1158;A;1;CORDOBA;1;1280;261;1;190;Residencial
134;01_AN05;FYRXYPO;2;2017-08-01Z;DFUNES;13_OPERA;1317;A;1;CORDOBA;1;1280;195;1;190;Residencial
135;01_AN06;RHHNGM;3;2015-04-27Z;CERRO;13_POZOVERDE;5293;A;1;CORDOBA;1;1092;57;1;140;1.a/f RESIDENCIAL
136;01_AN07;USVTUA;1;1990-06-30Z;DFUNES;13_OPERA;1317;A;1;CORDOBA;1;1283;45;1;144;1.d RESID.COMERCIAL
137;01_AN08;KBBAKZ;1;1999-02-05Z;DFUNES;13_OPERA;1317;A;1;CORDOBA;1;1283;50;1;190;Residencial
138;01_AN09;COHUUSD;4;2021-03-19Z;CERRO;13_VSIBURU;2273;A;1;CORDOBA;1;1091;186;1;140;1.a/f RESIDENCIAL
139;01_AN10;ERBSWM;1;1990-06-30Z;DFUNES;13_OPERA;2812;A;1;CORDOBA;1;1091;158;1;140;1.a/f RESIDENCIAL
140;01_AO01;VXDTQAJ;3;2021-08-04Z;DFUNES;13_OPERA;2812;A;1;CORDOBA;1;1091;192;1;140;1.a/f RESIDENCIAL
141;01_AO02;YYQMEVJ;4;2002-06-21Z;DFUNES;13_PALERMO;1158;A;1;CORDOBA;1;1882;40;1;140;1.a/f RESIDENCIAL
142;01_AO03;HMAITX;1;1990-06-30Z;DFUNES;13_OPERA;1317;A;1;CORDOBA;1;1882;7;1;140;1.a/f RESIDENCIAL
143;01_AO04;IFRYQJP;4;2018-01-15Z;CERRO;13_URCA;3139;A;1;CORDOBA;1;1092;169;1;140;1.a/f RESIDENCIAL
144;01_AO05;ZNLHHAZ;2;2021-01-11Z;CERRO;13_VSIBURU;3212;A;1;CORDOBA;1;1298;32;1;140;1.a/f RESIDENCIAL
145;01_AO06;XWOEOJ;2;2002-04-04Z;DFUNES;13_OPERA;1317;A;1;CORDOBA;1;1282;200;1;140;1.a/f RESIDENCIAL
146;01_AO07;WGMIPR;1;2014-02-19Z;DFUNES;13_PALERMO;1158;A;1;CORDOBA;1;1280;182;1;140;1.a/f RESIDENCIAL
147;01_AO08;JPKGWW;3;2013-04-09Z;CERRO;13_PALERMO;1158;A;1;CORDOBA;1;1883;127;1;180;Resid TSP Caren Dto. 43/19
148;01_AO09;QDXSGUA;2;2003-06-24Z;CERRO;13_URCA;3139;A;1;CORDOBA;1;1092;143;1;140;1.a/f RESIDENCIAL
149;01_AO10;RWHJGSF;8;2022-07-11Z;DFUNES;13_OPERA;2812;A;1;CORDOBA;1;1091;14;1;140;1.a/f RESIDENCIAL
150;01_AP01;VVGBNZH;1;2011-06-16Z;CERRO;13_PALERMO;1158;A;1;CORDOBA;1;1284;91;1;140;1.a/f RESIDENCIAL
151;01_AP02;IBAGYPZ;5;2010-09-15Z;CERRO;13_PALERMO;1158;A;1;CORDOBA;1;1883;156;1;140;1.a/f RESIDENCIAL
152;01_AP03;AUZPME;1;1990-06-30Z;DFUNES;13_OPERA;1317;A;1;CORDOBA;1;1882;8;1;140;1.a/f RESIDENCIAL
153;01_AP04;JNJSZIL;5;2023-09-01Z;DFUNES;13_OPERA;1317;A;1;CORDOBA;1;1882;109;1;140;1.a/f RESIDENCIAL
154;01_AP05;MSOVVH;1;1990-06-30Z;DFUNES;13_OPERA;1317;A;1;CORDOBA;1;1282;157;1;140;1.a/f RESIDENCIAL
155;01_AP06;HSFSSY;1;1990-06-30Z;CERRO;13_URCA;3139;A;1;CORDOBA;1;1881;86;1;140;1.a/f RESIDENCIAL
156;01_AP07;TYVZEF;1;1990-06-30Z;CERRO;13_URCA;3234;A;1;CORDOBA;1;1245;274;1;140;1.a/f RESIDENCIAL
157;01_AP08;WINBON;1;1990-06-30Z;CERRO;13_URCA;3234;A;1;CORDOBA;1;1245;267;1;140;1.a/f RESIDENCIAL
158;01_AP09;FHPWQO;1;2000-12-18Z;CERRO;13_URCA;3139;A;1;CORDOBA;1;1092;139;1;140;1.a/f RESIDENCIAL
159;01_AP10;CRKQBCR;2;2003-11-19Z;DBOSCO;13_POZOVERDE;3217;A;1;CORDOBA;1;1420;125;1;140;1.a/f RESIDENCIAL
160;01_AQ01;OJRVDLG;4;2021-12-27Z;DBOSCO;13_POZOVERDE;3217;A;1;CORDOBA;1;1420;218;1;140;1.a/f RESIDENCIAL
161;01_AQ02;ENDWQE;1;1999-08-21Z;CERRO;13_URCA;3139;A;1;CORDOBA;1;1881;153;1;140;1.a/f RESIDENCIAL
162;01_AQ03;BLHFMZ;1;1990-06-30Z;DBOSCO;13_POZOVERDE;3217;A;1;CORDOBA;1;1420;114;1;140;1.a/f RESIDENCIAL
163;01_AQ04;AJIMECA;3;2013-03-11Z;DBOSCO;13_POZOVERDE;3217;A;1;CORDOBA;1;1420;119;1;150;1.h   RESIDENCIAL
164;01_AQ05;BEDSBI;1;1990-06-30Z;DBOSCO;13_POZOVERDE;3217;A;1;CORDOBA;1;1420;91;1;140;1.a/f RESIDENCIAL
165;01_AQ06;KELEMW;5;2006-06-15Z;CERRO;13_VSIBURU;3212;A;1;CORDOBA;1;1298;18;1;190;Residencial
166;01_AQ07;PMZLRL;1;1990-06-30Z;CERRO;13_URCA;3139;A;1;CORDOBA;1;1881;54;1;140;1.a/f RESIDENCIAL
167;01_AQ08;LLFMJLE;5;2007-02-28Z;CERRO;13_VSIBURU;3212;A;1;CORDOBA;1;1298;22;1;140;1.a/f RESIDENCIAL
168;01_AQ09;CCRFPV;1;1990-06-30Z;DBOSCO;13_URCA;3139;A;1;CORDOBA;1;1296;153;1;140;1.a/f RESIDENCIAL
169;01_AQ10;SHXYMC;1;1990-06-30Z;DBOSCO;13_URCA;3139;A;1;CORDOBA;1;1296;151;1;140;1.a/f RESIDENCIAL
170;01_AR01;RNXFDR;4;2018-11-29Z;DBOSCO;13_POZOVERDE;3217;A;1;CORDOBA;1;1420;175;1;140;1.a/f RESIDENCIAL
171;01_AR02;WGQJWA;5;2022-07-05Z;DBOSCO;13_POZOVERDE;3217;A;1;CORDOBA;1;1420;172;1;140;1.a/f RESIDENCIAL
172;01_AR03;XOVBII;3;2019-03-08Z;CERRO;13_URCA;3139;A;1;CORDOBA;1;1881;52;1;140;1.a/f RESIDENCIAL
173;01_AR04;FOQRIB;6;2024-05-15Z;DBOSCO;13_POZOVERDE;3217;A;1;CORDOBA;1;1420;179;1;140;1.a/f RESIDENCIAL
174;01_AR05;KHXRWY;1;1990-06-30Z;DBOSCO;13_POZOVERDE;3217;A;1;CORDOBA;1;1420;82;1;140;1.a/f RESIDENCIAL
